neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,review_year,review_month,has_reviews,host_activity_level,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room,is_fake
179,40.66869,-73.9878,89,4,168,1.41,3,340,2019,6,1,Medium,True,False,False,False,True,False,0
12,40.68876,-73.94312,35,60,0,0.0,1,365,0,0,0,Low,True,False,False,False,True,False,0
27,40.70186,-73.92745,85,2,231,1.96,2,22,2019,6,1,Medium,True,False,False,False,False,False,0
73,40.63702,-73.96327,150,1,0,0.0,1,365,0,0,0,Low,True,False,False,False,True,False,0
117,40.71401,-73.98917,40,1,214,1.81,4,188,2019,7,1,Medium,False,True,False,False,False,True,0
63,40.7229,-73.98199,68,2,245,2.08,2,96,2019,6,1,Medium,False,True,False,False,True,False,0
179,40.66278,-73.97966,120,3,15,0.39,1,345,2019,5,1,Low,True,False,False,False,False,False,0
79,40.69673,-73.97584,120,7,25,0.23,1,311,2018,9,1,Low,True,False,False,False,True,False,0
199,40.79009,-73.97927,135,4,81,0.69,1,273,2019,6,1,Low,False,True,False,False,True,False,0
92,40.81175,-73.94478,150,7,97,0.84,1,309,2019,6,1,Low,False,True,False,False,False,False,0
156,40.65944,-73.96238,150,29,11,0.49,1,95,2019,6,1,Low,True,False,False,False,False,False,0
115,40.74771,-73.9474,130,3,248,2.25,1,215,2019,7,1,Low,False,False,True,False,True,False,0
12,40.68111,-73.95591,110,7,61,0.52,1,265,2019,5,1,Low,True,False,False,False,False,False,0
79,40.69142,-73.97376,80,3,135,1.16,2,192,2019,6,1,Medium,True,False,False,False,True,False,0
12,40.68043,-73.93934,80,1,112,1.01,3,251,2019,6,1,Medium,True,False,False,False,True,False,0
199,40.78635,-73.97008,151,2,73,0.63,1,302,2019,7,1,Low,False,True,False,False,False,False,0
211,40.7042,-73.9356,228,3,82,0.7,1,140,2019,5,1,Low,True,False,False,False,False,False,1
89,40.73506,-73.95392,144,2,328,2.82,1,234,2019,6,1,Low,True,False,False,False,False,False,0
110,40.73961,-73.98074,200,7,19,0.22,1,257,2019,3,1,Low,False,True,False,False,False,False,0
211,40.70881,-73.9593,150,30,105,0.9,1,30,2019,6,1,Low,True,False,False,False,False,False,0
117,40.72004,-73.99104,110,5,19,0.17,1,301,2019,5,1,Low,False,True,False,False,True,False,0
93,40.75531,-73.99293,69,2,289,2.49,2,294,2019,6,1,Medium,False,True,False,False,True,False,0
89,40.72401,-73.93788,49,4,138,1.19,3,320,2019,6,1,Medium,True,False,False,False,True,False,0
175,40.7221,-73.99775,180,30,21,0.3,1,154,2019,6,1,Low,False,True,False,False,False,False,0
211,40.71185,-73.96204,80,2,42,0.38,1,263,2019,6,1,Low,True,False,False,False,True,False,0
33,40.74623,-73.9953,375,180,5,0.12,1,180,2018,11,1,Low,False,True,False,False,False,False,1
198,40.77065,-73.95269,250,2,66,0.57,2,231,2019,3,1,Medium,False,True,False,False,False,False,1
155,40.67811,-73.96428,200,30,143,1.33,2,297,2019,1,1,Medium,True,False,False,False,False,False,0
40,40.69,-73.96788,55,7,27,0.23,2,292,2017,9,1,Medium,True,False,False,False,True,False,0
93,40.75979,-73.99119,52,30,191,1.65,1,191,2019,5,1,Low,False,True,False,False,True,False,0
63,40.72649,-73.97904,80,1,338,4.72,2,72,2019,7,1,Medium,False,True,False,False,True,False,0
211,40.70933,-73.96792,275,1,148,1.4,1,362,2019,6,1,Low,True,False,False,False,False,False,1
63,40.72298,-73.98474,99,1,106,1.26,2,336,2019,6,1,Medium,False,True,False,False,True,False,0
60,40.80164,-73.93922,225,4,190,1.64,1,215,2019,6,1,Low,False,True,False,False,False,False,1
63,40.72162,-73.98008,230,9,49,0.43,1,116,2018,5,1,Low,False,True,False,False,False,False,1
93,40.76342,-73.98865,51,7,23,0.43,1,88,2019,6,1,Low,False,True,False,False,True,False,0
203,40.83139,-73.94095,65,2,49,1.6,2,336,2019,6,1,Medium,False,True,False,False,True,False,0
40,40.68346,-73.96374,105,2,105,0.92,1,304,2019,6,1,Low,True,False,False,False,True,False,0
63,40.72828,-73.98801,190,5,21,0.2,1,224,2019,1,1,Low,False,True,False,False,False,False,0
198,40.76865,-73.95058,200,1,142,1.5,1,322,2019,7,1,Low,False,True,False,False,True,False,0
216,40.75038,-73.90334,70,30,25,0.22,1,324,2019,5,1,Low,False,False,True,False,True,False,0
79,40.6932,-73.97267,95,3,143,1.28,1,132,2019,6,1,Low,True,False,False,False,True,False,0
33,40.74138,-74.00197,150,3,167,1.65,1,295,2019,5,1,Low,False,True,False,False,True,False,0
211,40.71154,-73.96112,145,3,61,0.54,4,238,2019,4,1,Medium,True,False,False,False,True,False,0
92,40.82915,-73.95136,110,31,54,0.49,1,209,2019,3,1,Low,False,True,False,False,False,False,0
117,40.71851,-73.98892,285,5,70,0.62,1,328,2019,6,1,Low,False,True,False,False,False,False,1
73,40.65401,-73.96323,130,6,16,0.15,1,38,2019,6,1,Low,True,False,False,False,False,False,0
117,40.7114,-73.98794,94,30,94,0.84,1,188,2019,4,1,Low,False,True,False,False,True,False,0
211,40.71833,-73.95748,105,3,61,0.53,1,272,2018,8,1,Low,True,False,False,False,False,False,0
63,40.72334,-73.9844,60,3,194,1.73,1,26,2019,6,1,Low,False,True,False,False,True,False,0
211,40.71156,-73.96218,85,3,174,1.54,4,288,2019,6,1,Medium,True,False,False,False,True,False,0
27,40.70032,-73.9383,65,4,24,0.28,1,317,2019,5,1,Low,True,False,False,False,True,False,0
155,40.68233,-73.97261,131,4,166,3.4,1,207,2019,6,1,Low,True,False,False,False,False,False,0
40,40.68634,-73.966,98,7,16,0.2,6,185,2019,5,1,High,True,False,False,False,True,False,0
155,40.68035,-73.97162,250,7,21,0.3,1,158,2019,5,1,Low,True,False,False,False,False,False,1
27,40.70093,-73.92609,105,3,118,1.05,2,9,2019,6,1,Medium,True,False,False,False,False,False,0
199,40.79764,-73.96177,140,3,81,0.71,1,198,2019,7,1,Low,False,True,False,False,False,False,0
92,40.82803,-73.94731,89,1,1,0.11,1,365,2018,10,1,Low,False,True,False,False,True,False,0
33,40.74008,-74.00271,98,30,30,0.27,2,364,2019,5,1,Medium,False,True,False,False,True,False,0
12,40.68413,-73.92357,125,7,139,1.23,2,311,2018,10,1,Medium,True,False,False,False,False,False,0
92,40.82279,-73.95139,60,3,11,0.87,3,219,2019,1,1,Medium,False,True,False,False,True,False,0
30,40.67967,-74.00154,175,2,233,2.09,3,342,2019,6,1,Medium,True,False,False,False,False,False,0
203,40.83927,-73.94281,65,2,68,0.6,1,312,2012,11,1,Low,False,True,False,False,True,False,0
206,40.73096,-74.00319,500,4,46,0.55,2,243,2019,5,1,Medium,False,True,False,False,False,False,1
211,40.71332,-73.94177,101,3,335,3.02,1,152,2019,5,1,Low,True,False,False,False,True,False,0
148,40.66941,-73.98109,220,30,88,0.79,1,9,2018,11,1,Low,True,False,False,False,False,False,0
12,40.68373,-73.92377,125,90,162,1.46,2,137,2019,6,1,Medium,True,False,False,False,False,False,0
211,40.71459,-73.94844,80,30,29,0.4,1,222,2018,5,1,Low,True,False,False,False,False,False,0
92,40.8092,-73.94421,100,2,170,1.61,1,346,2019,6,1,Low,False,True,False,False,True,False,0
83,40.68157,-73.98989,200,30,19,0.2,1,208,2017,3,1,Low,True,False,False,False,False,False,0
93,40.75527,-73.99291,59,2,334,3.0,2,279,2019,6,1,Medium,False,True,False,False,True,False,0
40,40.68698,-73.96572,125,2,19,0.2,6,250,2019,6,1,High,True,False,False,False,True,False,0
63,40.7288,-73.98192,140,7,12,0.13,1,164,2017,12,1,Low,False,True,False,False,False,False,0
179,40.66853,-73.98912,120,30,467,4.22,2,192,2018,12,1,Medium,True,False,False,False,False,False,0
63,40.7254,-73.98157,350,2,7,0.06,4,298,2017,8,1,Medium,False,True,False,False,False,False,1
110,40.74294,-73.98009,199,5,38,0.38,1,260,2015,12,1,Low,False,True,False,False,False,False,0
211,40.71942,-73.95748,325,3,324,3.01,1,107,2019,6,1,Low,True,False,False,False,False,False,1
199,40.77823,-73.97637,235,6,27,0.27,1,199,2019,4,1,Low,False,True,False,False,False,False,1
63,40.72555,-73.97965,225,1,115,1.05,4,299,2019,6,1,Medium,False,True,False,False,False,False,1
179,40.66831,-73.98604,99,2,354,3.2,3,20,2019,5,1,Medium,True,False,False,False,True,False,0
92,40.82754,-73.94919,170,2,195,2.03,1,318,2019,7,1,Low,False,True,False,False,False,False,0
179,40.66499,-73.97925,400,2,16,0.24,2,216,2018,12,1,Medium,True,False,False,False,False,False,1
199,40.77842,-73.97556,170,7,13,0.12,1,224,2019,6,1,Low,False,True,False,False,False,False,0
156,40.65593,-73.96053,75,2,9,0.08,1,324,2018,10,1,Low,True,False,False,False,True,False,0
211,40.71923,-73.96468,90,1,9,0.08,1,245,2011,9,1,Low,True,False,False,False,True,False,0
198,40.778,-73.94822,150,5,21,0.19,1,189,2017,8,1,Low,False,True,False,False,False,False,0
203,40.85879,-73.93128,85,15,36,0.33,1,307,2017,8,1,Low,False,True,False,False,True,False,0
12,40.68332,-73.9547,70,3,63,0.58,2,310,2019,5,1,Medium,True,False,False,False,True,False,0
92,40.81618,-73.94894,120,3,155,1.42,3,213,2019,6,1,Medium,False,True,False,False,False,False,0
40,40.68414,-73.96351,89,3,260,2.35,1,278,2019,7,1,Low,True,False,False,False,True,False,0
63,40.72392,-73.99143,185,5,73,0.66,1,209,2019,6,1,Low,False,True,False,False,False,False,0
117,40.71341,-73.98856,105,3,32,0.29,1,16,2019,6,1,Low,False,True,False,False,False,False,0
93,40.76754,-73.98399,130,2,50,0.45,3,234,2019,5,1,Medium,False,True,False,False,True,False,0
206,40.73442,-74.00303,115,29,26,0.25,1,12,2019,7,1,Low,False,True,False,False,False,False,0
75,40.63188,-73.93248,77,2,2,0.02,1,178,2019,1,1,Low,True,False,False,False,True,False,0
40,40.6873,-73.9634,76,2,426,3.89,3,275,2019,6,1,Medium,True,False,False,False,True,False,0
12,40.68296,-73.93662,125,3,227,2.09,2,163,2019,6,1,Medium,True,False,False,False,False,False,0
40,40.6863,-73.96765,135,4,84,0.77,3,365,2019,7,1,Medium,True,False,False,False,True,False,0
89,40.73409,-73.95348,250,29,3,0.03,1,34,2017,7,1,Low,True,False,False,False,False,False,1
211,40.71561,-73.94835,199,3,10,0.1,1,280,2018,6,1,Low,True,False,False,False,False,False,0
76,40.74028,-73.83168,140,2,1,0.01,1,1,2011,9,1,Low,False,False,True,False,True,False,0
12,40.68281,-73.93524,115,3,124,1.72,2,170,2019,6,1,Medium,True,False,False,False,False,False,0
211,40.71596,-73.93938,160,3,11,0.11,1,188,2019,7,1,Low,True,False,False,False,False,False,0
211,40.71492,-73.95935,195,4,240,2.19,1,214,2019,6,1,Low,True,False,False,False,False,False,0
63,40.72354,-73.98295,195,3,30,0.28,1,248,2019,6,1,Low,False,True,False,False,False,False,0
211,40.71165,-73.96087,80,3,200,1.86,4,262,2019,6,1,Medium,True,False,False,False,True,False,0
79,40.69101,-73.97312,44,8,27,1.05,5,280,2019,6,1,Medium,True,False,False,False,True,False,0
206,40.73474,-74.00101,156,4,79,0.74,1,307,2019,6,1,Low,False,True,False,False,True,False,0
155,40.67386,-73.96641,85,15,9,0.09,1,339,2013,5,1,Low,True,False,False,False,True,False,0
211,40.71536,-73.96057,125,3,155,1.61,1,1,2019,6,1,Low,True,False,False,False,True,False,0
155,40.6741,-73.96595,115,15,4,0.05,1,269,2018,8,1,Low,True,False,False,False,False,False,0
60,40.79295,-73.93997,69,2,34,0.32,1,10,2017,5,1,Low,False,True,False,False,True,False,0
206,40.73226,-74.00401,225,45,134,1.24,1,312,2019,3,1,Low,False,True,False,False,False,False,1
211,40.71363,-73.96398,125,6,27,0.25,1,189,2018,12,1,Low,True,False,False,False,False,False,0
198,40.77711,-73.9527,219,4,126,1.16,2,290,2019,6,1,Medium,False,True,False,False,False,False,0
18,40.68559,-73.98094,475,3,23,0.27,1,230,2018,12,1,Low,True,False,False,False,False,False,1
198,40.77456,-73.95323,99,1,234,2.6,2,164,2019,6,1,Medium,False,True,False,False,False,False,0
211,40.71088,-73.95055,69,4,202,1.86,2,53,2019,5,1,Medium,True,False,False,False,True,False,0
186,40.74559,-73.92313,79,30,28,0.26,1,126,2019,4,1,Low,False,False,True,False,True,False,0
12,40.68306,-73.94659,135,2,309,2.86,2,3,2019,6,1,Medium,True,False,False,False,False,False,0
52,40.70207,-73.98571,250,3,14,0.13,1,189,2011,4,1,Low,True,False,False,False,True,False,1
198,40.76123,-73.9642,250,3,4,0.08,1,365,2016,9,1,Low,False,True,False,False,False,False,1
40,40.68843,-73.96408,70,2,294,3.47,3,336,2019,6,1,Medium,True,False,False,False,True,False,0
30,40.6783,-74.00135,165,2,150,1.4,3,342,2019,6,1,Medium,True,False,False,False,False,False,0
183,40.64524,-74.08088,70,2,166,1.66,1,312,2019,6,1,Low,False,False,False,True,True,False,0
27,40.70641,-73.91765,50,2,47,0.94,1,37,2019,6,1,Low,True,False,False,False,True,False,0
94,40.83232,-73.93184,40,1,219,2.04,3,353,2019,7,1,Medium,False,False,False,False,True,False,0
211,40.71045,-73.9677,150,2,193,1.78,1,177,2016,7,1,Low,True,False,False,False,False,False,0
63,40.72518,-73.98034,125,1,84,0.78,4,310,2019,6,1,Medium,False,True,False,False,True,False,0
79,40.69098,-73.97113,110,2,213,2.0,2,321,2019,6,1,Medium,True,False,False,False,True,False,0
206,40.73756,-74.00405,170,3,86,0.8,1,246,2019,6,1,Low,False,True,False,False,False,False,0
92,40.81526,-73.94791,165,3,80,0.75,3,231,2019,5,1,Medium,False,True,False,False,False,False,0
206,40.73423,-74.0046,150,26,38,0.36,1,225,2016,4,1,Low,False,True,False,False,False,False,0
163,40.70382,-73.89797,350,8,10,0.11,5,365,2019,5,1,Medium,False,False,True,False,False,False,1
128,40.80549,-73.95924,99,4,122,1.18,2,233,2019,5,1,Medium,False,True,False,False,True,False,0
211,40.71627,-73.9587,200,4,33,0.58,1,1,2019,4,1,Low,True,False,False,False,False,False,0
148,40.67994,-73.97863,150,5,52,0.5,1,18,2019,6,1,Low,True,False,False,False,False,False,0
12,40.67992,-73.9475,90,3,126,1.17,4,343,2019,5,1,Medium,True,False,False,False,True,False,0
155,40.67868,-73.97307,120,3,51,0.48,3,250,2019,6,1,Medium,True,False,False,False,True,False,0
198,40.76834,-73.95334,75,3,199,1.85,1,326,2019,6,1,Low,False,True,False,False,True,False,0
12,40.68237,-73.9415,175,26,30,0.29,1,364,2012,9,1,Low,True,False,False,False,False,False,0
93,40.76307,-73.99665,275,1,41,0.38,1,299,2019,6,1,Low,False,True,False,False,False,False,1
117,40.71882,-73.98852,299,2,109,1.04,1,207,2019,6,1,Low,False,True,False,False,False,False,1
179,40.6693,-73.98804,135,5,151,1.43,3,162,2019,6,1,Medium,True,False,False,False,False,False,0
117,40.72319,-73.99201,83,1,285,2.69,1,7,2019,6,1,Low,False,True,False,False,True,False,0
33,40.74859,-73.99671,123,1,375,3.52,1,328,2019,6,1,Low,False,True,False,False,True,False,0
103,40.67252,-73.76597,55,2,52,0.49,2,365,2019,5,1,Medium,False,False,True,False,True,False,0
123,40.71722,-73.87856,98,30,33,0.31,5,240,2015,5,1,Medium,False,False,True,False,False,False,0
163,40.70234,-73.89816,140,7,6,0.06,5,365,2015,10,1,Medium,False,False,True,False,True,False,0
123,40.71546,-73.87854,265,7,38,0.38,5,365,2019,4,1,Medium,False,False,True,False,False,False,1
211,40.7195,-73.95976,249,2,358,3.44,2,164,2019,6,1,Medium,True,False,False,False,False,False,1
93,40.76548,-73.98474,105,6,10,0.09,1,363,2014,1,1,Low,False,True,False,False,False,True,0
92,40.80234,-73.95603,200,30,0,0.0,1,365,0,0,0,Low,False,True,False,False,True,False,0
155,40.6787,-73.97262,100,2,226,2.12,3,250,2019,6,1,Medium,True,False,False,False,True,False,0
92,40.81035,-73.94598,121,1,104,1.0,5,247,2019,6,1,Medium,False,True,False,False,False,False,0
94,40.83075,-73.93058,45,1,138,1.45,3,323,2019,6,1,Medium,False,False,False,False,True,False,0
60,40.79958,-73.94275,100,5,204,1.92,1,192,2019,6,1,Low,False,True,False,False,True,False,0
211,40.71625,-73.93845,140,2,253,3.04,1,125,2019,7,1,Low,True,False,False,False,False,False,0
12,40.6829,-73.93549,71,2,23,0.22,1,91,2019,7,1,Low,True,False,False,False,True,False,0
141,40.72773,-73.99134,130,2,115,1.17,1,75,2018,12,1,Low,False,True,False,False,True,False,0
206,40.72861,-74.0049,199,5,129,1.22,1,286,2019,5,1,Low,False,True,False,False,False,False,0
211,40.70979,-73.95162,69,4,82,1.13,2,60,2019,6,1,Medium,True,False,False,False,True,False,0
63,40.72752,-73.98432,130,1,204,2.04,1,192,2019,7,1,Low,False,True,False,False,False,False,0
89,40.729,-73.95829,195,2,69,0.65,1,58,2019,6,1,Low,True,False,False,False,False,False,0
92,40.81219,-73.94499,64,1,192,1.84,5,245,2019,6,1,Medium,False,True,False,False,True,False,0
53,40.77185,-73.90502,140,2,17,0.16,1,292,2019,6,1,Low,False,False,True,False,False,False,0
42,40.68926,-73.99386,159,2,222,2.12,1,279,2019,6,1,Low,True,False,False,False,False,False,0
93,40.7672,-73.98508,250,3,94,0.96,1,3,2019,6,1,Low,False,True,False,False,False,False,1
63,40.73012,-73.99053,239,3,7,0.07,1,351,2019,5,1,Low,False,True,False,False,False,False,1
74,40.7403,-73.98498,305,2,108,1.09,1,201,2019,6,1,Low,False,True,False,False,False,False,1
92,40.80931,-73.94343,155,3,222,2.1,2,232,2019,6,1,Medium,False,True,False,False,False,False,0
92,40.8251,-73.94287,60,1,458,4.58,2,258,2019,7,1,Medium,False,True,False,False,True,False,0
213,40.6585,-73.98397,135,2,21,0.26,1,272,2019,5,1,Low,True,False,False,False,True,False,0
166,40.76193,-73.9501,120,7,17,0.3,1,341,2019,5,1,Low,False,True,False,False,True,False,0
117,40.72052,-73.98589,150,3,41,0.39,1,244,2019,1,1,Low,False,True,False,False,False,False,0
163,40.70411,-73.89934,140,14,1,0.01,5,365,2012,9,1,Medium,False,False,True,False,False,False,0
89,40.73401,-73.95967,135,2,69,0.67,1,12,2019,5,1,Low,True,False,False,False,False,False,0
34,40.71756,-73.99503,250,4,18,0.18,2,265,2019,7,1,Medium,False,True,False,False,False,False,1
175,40.72003,-74.00262,500,4,94,0.99,1,329,2019,6,1,Low,False,True,False,False,False,False,1
90,40.73194,-73.99474,225,5,10,0.1,1,91,2019,5,1,Low,False,True,False,False,False,False,1
60,40.79163,-73.94573,125,28,183,1.83,2,365,2018,9,1,Medium,False,True,False,False,False,False,0
92,40.8118,-73.94434,92,1,189,1.82,5,253,2019,6,1,Medium,False,True,False,False,True,False,0
92,40.81583,-73.94707,175,2,1,0.11,1,365,2018,10,1,Low,False,True,False,False,True,False,0
63,40.72654,-73.98049,99,2,127,1.22,1,320,2019,6,1,Low,False,True,False,False,False,False,0
60,40.80942,-73.93936,140,3,135,1.3,3,192,2019,6,1,Medium,False,True,False,False,False,False,0
33,40.74358,-74.00027,500,2,35,0.34,1,348,2017,7,1,Low,False,True,False,False,False,False,1
34,40.71445,-73.9908,120,4,171,1.8,2,353,2019,6,1,Medium,False,True,False,False,True,False,0
125,40.75749,-73.96897,110,200,92,0.9,1,140,2019,4,1,Low,False,True,False,False,False,False,0
59,40.64446,-73.9503,65,3,238,2.3,1,2,2019,6,1,Low,True,False,False,False,False,False,0
63,40.7268,-73.99079,130,50,56,0.58,1,56,2019,5,1,Low,False,True,False,False,False,False,0
27,40.688,-73.9171,99,3,111,2.13,1,68,2019,6,1,Low,True,False,False,False,False,False,0
191,40.63536,-74.08537,36,2,193,1.85,6,360,2019,6,1,High,False,False,False,True,True,False,0
191,40.63518,-74.08546,37,2,177,1.71,6,320,2019,7,1,High,False,False,False,True,True,False,0
63,40.72477,-73.98161,175,3,185,1.78,2,326,2019,5,1,Medium,False,True,False,False,False,False,0
33,40.74238,-73.99567,205,9,62,0.7,2,76,2019,6,1,Medium,False,True,False,False,False,False,0
89,40.72945,-73.95511,285,3,124,1.22,3,279,2019,6,1,Medium,True,False,False,False,False,False,1
211,40.70763,-73.95177,59,2,181,1.77,2,15,2019,6,1,Medium,True,False,False,False,True,False,0
191,40.63481,-74.08519,36,2,333,3.19,6,340,2019,7,1,High,False,False,False,True,True,False,0
4,40.75384,-73.91433,99,5,441,4.5,1,226,2019,6,1,Low,False,False,True,False,False,False,0
106,40.64106,-73.97426,39,1,45,0.46,2,365,2019,5,1,Medium,True,False,False,False,True,False,0
38,40.81309,-73.85514,90,2,0,0.0,7,349,0,0,0,High,False,False,False,False,True,False,0
64,40.88057,-73.83572,105,2,38,0.5,13,365,2019,6,1,High,False,False,False,False,False,False,1
12,40.68236,-73.94314,135,2,248,2.39,2,11,2019,6,1,Medium,True,False,False,False,False,False,0
63,40.72185,-73.98246,390,5,143,1.38,2,316,2019,6,1,Medium,False,True,False,False,False,False,1
12,40.68503,-73.95385,70,3,36,0.41,4,281,2018,8,1,Medium,True,False,False,False,True,False,0
101,40.86648,-73.9263,75,7,0,0.0,2,323,0,0,0,Medium,False,True,False,False,True,False,0
211,40.7069,-73.95467,60,17,14,0.14,4,362,2019,1,1,Medium,True,False,False,False,True,False,0
50,40.6778,-73.94339,100,3,279,2.69,1,301,2019,6,1,Low,True,False,False,False,True,False,0
12,40.68317,-73.94701,70,4,18,0.22,4,189,2019,1,1,Medium,True,False,False,False,True,False,0
50,40.67586,-73.95155,60,2,227,2.27,2,287,2019,6,1,Medium,True,False,False,False,True,False,0
113,40.71702,-73.99811,90,14,1,0.16,1,14,2019,1,1,Low,False,True,False,False,False,False,0
63,40.72321,-73.98157,68,2,203,1.96,2,86,2019,6,1,Medium,False,True,False,False,True,False,0
199,40.77956,-73.98098,115,2,210,2.1,1,261,2019,7,1,Low,False,True,False,False,False,False,0
12,40.68276,-73.95264,75,5,64,0.67,1,68,2019,1,1,Low,True,False,False,False,True,False,0
63,40.72956,-73.98158,129,7,5,0.15,1,231,2019,1,1,Low,False,True,False,False,False,False,0
211,40.71069,-73.95175,130,10,49,0.48,1,152,2019,6,1,Low,True,False,False,False,False,False,0
211,40.70863,-73.94641,95,4,132,1.27,1,46,2019,7,1,Low,True,False,False,False,False,False,0
92,40.82888,-73.94307,75,3,20,0.26,1,364,2019,1,1,Low,False,True,False,False,True,False,0
148,40.67319,-73.97323,175,2,11,0.11,1,246,2013,5,1,Low,True,False,False,False,False,False,0
30,40.67846,-73.99443,190,3,51,0.57,1,288,2019,7,1,Low,True,False,False,False,False,False,0
50,40.6715,-73.94808,49,21,15,0.15,5,331,2019,6,1,Medium,True,False,False,False,True,False,0
63,40.72681,-73.98534,212,3,67,1.31,1,51,2019,6,1,Low,False,True,False,False,False,False,0
117,40.71904,-73.99392,95,1,109,1.11,3,364,2019,6,1,Medium,False,True,False,False,True,False,0
211,40.71031,-73.9583,140,2,9,0.11,1,254,2019,2,1,Low,True,False,False,False,False,False,0
92,40.81322,-73.95306,135,6,187,1.87,1,189,2019,6,1,Low,False,True,False,False,False,False,0
148,40.67732,-73.98225,150,2,214,2.08,2,263,2019,6,1,Medium,True,False,False,False,False,False,0
83,40.68076,-73.9896,190,3,69,0.79,2,258,2019,7,1,Medium,True,False,False,False,False,False,0
60,40.79603,-73.94903,124,28,22,0.26,1,103,2019,6,1,Low,False,True,False,False,False,False,0
211,40.71492,-73.96282,135,30,56,0.56,1,42,2019,5,1,Low,True,False,False,False,False,False,0
128,40.80393,-73.95838,122,3,93,0.93,1,246,2019,6,1,Low,False,True,False,False,True,False,0
199,40.80082,-73.9652,109,1,104,1.05,2,364,2019,6,1,Medium,False,True,False,False,True,False,0
92,40.82976,-73.94867,85,30,64,0.68,1,318,2018,7,1,Low,False,True,False,False,True,False,0
12,40.683,-73.91981,145,3,127,1.25,2,72,2019,6,1,Medium,True,False,False,False,False,False,0
199,40.78971,-73.9729,195,11,30,0.32,1,249,2019,6,1,Low,False,True,False,False,False,False,0
30,40.67817,-73.99495,250,2,106,1.34,3,272,2019,6,1,Medium,True,False,False,False,False,False,1
89,40.73119,-73.95578,125,3,6,0.1,1,325,2016,11,1,Low,True,False,False,False,True,False,0
113,40.71943,-73.99627,575,2,191,1.88,1,298,2019,6,1,Low,False,True,False,False,False,False,1
